reviewId,userName,userImage,content,score,thumbsUpCount,at,text_length,CaseFolding,Cleaning,HapusEmoji,3/Lebih,normalisasi,Stemming,label,numerical_labels,predicted_label,predicted_label_text
25633307-1c56-48db-aa2d-28e6b8adb4db,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keren,0,0,2023-02-21 03:28:57,1,keren,keren,keren,keren,keren,keren,netral,1,2,Positif
6b4a5ea5-f407-40f1-8adb-0d1baff01718,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mantap, sistem pendaftaran cepat,responsif💯",2,0,2023-02-21 03:20:28,4,"mantap, sistem pendaftaran cepat,responsif💯",mantap sistem pendaftaran cepatresponsif,mantap sistem pendaftaran cepatresponsif,mantap sistem pendaftaran cepatresponsif,mantap sistem pendaftaran cepatresponsif,mantap sistem daftar cepatresponsif,positif,2,1,Netral
217b4e40-a6b9-4eaf-8599-90e270f1ec18,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantao,0,0,2023-02-21 03:05:17,1,mantao,mantao,mantao,mantao,mantao,mantao,netral,1,2,Positif
6bfa8649-3eb3-461c-a2ee-8da19624f57f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,KTP digital,0,0,2023-02-21 02:55:57,2,ktp digital,digital,digital,digital,digital,digital,netral,1,2,Positif
f5a9475d-c6a1-40aa-b9f5-28031145146b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi ini sangat membantu,3,0,2023-02-21 02:54:23,4,aplikasi ini sangat membantu,membantu,membantu,membantu,membantu,bantu,positif,2,0,Negatif
3bb416b5-12df-4576-a80f-1ee3bdb91ef7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,App nya Mantap,5,0,2023-02-21 02:49:13,3,app nya mantap,mantap,mantap,mantap,mantap,mantap,positif,2,2,Positif
8bc57857-f9ee-48c7-bc8a-66f517f8f594,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gak jelas cara daftarnya.. suruh ngisi QR tapi QR yg mana gak jelas...aplikasi perlu disempurnakan, jangan karena pakai pajak uang rakyat buat aplikasi yg harganya miliaran tapi gak jelas peruntukan n keamanan nya...",-11,3,2023-02-21 02:46:04,33,"gak jelas cara daftarnya.. suruh ngisi qr tapi qr yg mana gak jelas...aplikasi perlu disempurnakan, jangan karena pakai pajak uang rakyat buat aplikasi yg harganya miliaran tapi gak jelas peruntukan n keamanan nya...",gak daftarnya suruh ngisi qr qr gak jelasaplikasi disempurnakan pakai pajak uang rakyat harganya miliaran gak peruntukan n keamanan,gak daftarnya suruh ngisi qr qr gak jelasaplikasi disempurnakan pakai pajak uang rakyat harganya miliaran gak peruntukan n keamanan,gak daftarnya suruh ngisi qr qr gak jelasaplikasi disempurnakan pakai pajak uang rakyat harganya miliaran gak peruntukan n keamanan,tidak daftarnya suruh mengisi qr qr tidak jelasaplikasi disempurnakan pakai pajak uang rakyat harganya miliaran tidak peruntukan dan keamanan,tidak daftar suruh isi qr qr tidak jelasaplikasi sempurna pakai pajak uang rakyat harga miliar tidak untuk dan aman,negatif,0,0,Negatif
9ef04854-6060-490e-b779-1017f626af24,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantappp x,5,0,2023-02-21 02:44:38,2,mantappp x,mantappp x,mantappp x,mantap x,mantap x,mantap x,positif,2,0,Negatif
68ab1334-bf6f-4ce1-bcd5-0a31e1a4b100,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"FK TEHNIK KEPERAWATAN UBB, HAFIDZ",1,0,2023-02-21 02:44:37,5,"fk tehnik keperawatan ubb, hafidz",fk tehnik keperawatan ubb hafidz,fk tehnik keperawatan ubb hafidz,fk tehnik keperawatan ubb hafidz,fk tehnik keperawatan ubb hafidz,fk tehnik awat ubb hafidz,positif,2,0,Negatif
624d4d83-0a05-4cee-8392-9830c98bf3ac,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Luar biasa keren2,0,0,2023-02-21 02:39:31,3,luar biasa keren2,keren,keren,keren,keren,keren,netral,1,0,Negatif
0cc2b9f7-d365-4d1e-a665-89dcc6a6a07c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Puas banget,,",3,0,2023-02-21 02:33:28,2,"puas banget,,",puas,puas,puas,puas,puas,positif,2,0,Negatif
